"","s0","V2","V3"
"1",1.64567721906317,46843,0
"2",2.03350416365756,51897,0
"3",1.98689253009975,47147,5
"4",2.18062987633496,54521,0
"5",1.96505654317879,51967,0
"6",1.68337198404057,50691,0
"7",2.20744784254185,61810,0
"8",2.22600800338072,61721,10
"9",1.69867941280615,51960,0
"10",1.64318405473241,46034,0
"11",2.17866695023004,61694,0
"12",2.94026701109061,53819,0
"13",1.56673774436782,48871,0
"14",2.55169000100189,58650,0
"15",2.26065090705472,24530,10
"16",1.63481715788668,48777,0
"17",2.25611890082572,60617,0
"18",2.55939316492877,53816,0
"19",1.63481715788668,48837,0
"20",2.17866695023004,58611,0
"21",1.65766641470312,51686,0
"22",1.66934121454857,50425,0
"23",2.1971483343022,56904,0
"24",1.7281098592676,45570,0
"25",2.76684132329067,53950,0
"26",2.24779536845269,56522,5
"27",1.99358254272942,45277,0
"28",2.8087745333392,53020,0
"29",1.34247507750125,45164,5
"30",2.58452463737461,63385,10
"31",1.88634650960916,47081,0
"32",2.21160180131839,62071,0
"33",1.67976791328237,47500,0
"34",0.708271934085637,50818,2
"35",2.97314169195997,56859,0
"36",2.75337137540822,53971,0
"37",2.19167481599762,62943,0
"38",2.38439613738996,49400,0
"39",1.9634036338083,44539,0
"40",1.94741797376061,52722,5
"41",1.69362412462039,52036,0
"42",1.63536249481953,52308,5
"43",1.89838471487532,51578,0
"44",2.17741654304297,60772,0
"45",1.84351799087688,52504,0
"46",2.25611890082572,58583,0
"47",1.94384982792983,50395,5
"48",2.22762025169799,7517,0
"49",2.5301181613191,7713,0
"50",2.13694930501806,5973,0
"51",1.47309194882409,4547,0
"52",1.50118040864504,8953,0
"53",1.72662966262055,7650,5
"54",1.67407233376575,10964,0
"55",2.34760665588125,7281,20
"56",2.20264725094673,12372,0
"57",2.55553816062034,13191,10
"58",2.11008541410008,12824,0
"59",2.54341915288877,12891,10
"60",2.06823957787018,12239,0
"61",2.54196687620719,13018,0
"62",2.42637165376511,15124,10
"63",1.82665621543145,15757,5
